I, [2018-02-03T22:20:12.510869 #11086]  INFO -- Kitchen: -----> Starting Kitchen (v1.19.2)
E, [2018-02-03T22:20:12.511924 #11086] ERROR -- Kitchen: ------Exception-------
E, [2018-02-03T22:20:12.511965 #11086] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-02-03T22:20:12.511993 #11086] ERROR -- Kitchen: Message: Kitchen YAML file /Users/sflaherty/workarea/trek/Terrform/dvo_infra_jenkins/.kitchen.yml does not exist.
E, [2018-02-03T22:20:12.512012 #11086] ERROR -- Kitchen: ----------------------
E, [2018-02-03T22:20:12.512035 #11086] ERROR -- Kitchen: ------Backtrace-------
E, [2018-02-03T22:20:12.512053 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-02-03T22:20:12.512076 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:152:in `data'
E, [2018-02-03T22:20:12.512127 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-02-03T22:20:12.512154 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-02-03T22:20:12.512173 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-02-03T22:20:12.512189 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-02-03T22:20:12.512204 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-02-03T22:20:12.512219 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-02-03T22:20:12.512233 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-02-03T22:20:12.512248 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2018-02-03T22:20:12.512262 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-02-03T22:20:12.512276 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-02-03T22:20:12.512291 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-02-03T22:20:12.512305 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-02-03T22:20:12.512320 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-02-03T22:20:12.512334 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-02-03T22:20:12.512349 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-02-03T22:20:12.512363 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-02-03T22:20:12.512378 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-02-03T22:20:12.512392 #11086] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.19.2/bin/kitchen:13:in `<top (required)>'
E, [2018-02-03T22:20:12.512407 #11086] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `load'
E, [2018-02-03T22:20:12.512421 #11086] ERROR -- Kitchen: /usr/local/bin/kitchen:255:in `<main>'
E, [2018-02-03T22:20:12.512435 #11086] ERROR -- Kitchen: ----End Backtrace-----
